ds,downstream,upstream
2026-02-14 12:57:53.441282,899.51,215.57
2026-02-14 13:12:53.441282,838.06,205.88
2026-02-14 13:27:53.441282,892.8,228.33
2026-02-14 13:42:53.441282,892.54,224.75
2026-02-14 13:57:53.441282,940.73,233.82
2026-02-14 14:12:53.441282,804.22,201.01
2026-02-14 14:27:53.441282,808.11,208.87
2026-02-14 14:42:53.441282,831.2,214.3
2026-02-14 14:57:53.441282,854.36,211.06
2026-02-14 15:12:53.441282,754.12,188.15
2026-02-14 15:27:53.441282,736.73,188.41
2026-02-14 15:42:53.441282,716.13,182.94
2026-02-14 15:57:53.441282,774.86,196.38
2026-02-14 16:12:53.441282,633.28,157.8
2026-02-14 16:27:53.441282,614.66,152.81
2026-02-14 16:42:53.441282,638.67,148.69
2026-02-14 16:57:53.441282,670.87,163.65
2026-02-14 17:12:53.441282,492.43,117.53
2026-02-14 17:27:53.441282,580.63,144.16
2026-02-14 17:42:53.441282,574.03,152.27
2026-02-14 17:57:53.441282,562.07,137.56
2026-02-14 18:12:53.441282,427.73,110.19
2026-02-14 18:27:53.441282,381.11,95.34
2026-02-14 18:42:53.441282,345.86,95.1
2026-02-14 18:57:53.441282,354.97,94.78
2026-02-14 19:12:53.441282,513.78,127.91
2026-02-14 19:27:53.441282,529.03,128.29
2026-02-14 19:42:53.441282,547.54,128.4
2026-02-14 19:57:53.441282,476.47,123.21
2026-02-14 20:12:53.441282,661.58,158.91
2026-02-14 20:27:53.441282,651.69,163.91
2026-02-14 20:42:53.441282,637.39,165.52
2026-02-14 20:57:53.441282,643.25,155.67
2026-02-14 21:12:53.441282,758.4,197.1
2026-02-14 21:27:53.441282,751.35,182.04
2026-02-14 21:42:53.441282,748.3,180.35
2026-02-14 21:57:53.441282,730.94,184.35
2026-02-14 22:12:53.441282,874.37,214.45
2026-02-14 22:27:53.441282,832.96,218.37
2026-02-14 22:42:53.441282,811.82,198.42
2026-02-14 22:57:53.441282,842.91,206.76
2026-02-14 23:12:53.441282,902.44,225.74
2026-02-14 23:27:53.441282,885.79,219.19
2026-02-14 23:42:53.441282,889.78,217.3
2026-02-14 23:57:53.441282,885.78,219.19
2026-02-15 00:12:53.441282,933.36,228.25
2026-02-15 00:27:53.441282,931.6,231.16
2026-02-15 00:42:53.441282,916.15,231.07
2026-02-15 00:57:53.441282,874.64,222.08
2026-02-15 01:12:53.441282,906.4,227.22
2026-02-15 01:27:53.441282,876.33,227.4
2026-02-15 01:42:53.441282,944.83,233.27
2026-02-15 01:57:53.441282,895.17,230.41
2026-02-15 02:12:53.441282,842.93,200.96
2026-02-15 02:27:53.441282,895.54,217.87
2026-02-15 02:42:53.441282,834.98,213.03
2026-02-15 02:57:53.441282,834.54,208.88
2026-02-15 03:12:53.441282,741.48,187.06
2026-02-15 03:27:53.441282,767.04,195.35
2026-02-15 03:42:53.441282,712.24,174.39
2026-02-15 03:57:53.441282,694.4,172.9
2026-02-15 04:12:53.441282,616.94,155.73
2026-02-15 04:27:53.441282,627.57,157.58
2026-02-15 04:42:53.441282,683.75,168.91
2026-02-15 04:57:53.441282,637.5,158.34
2026-02-15 05:12:53.441282,538.87,135.98
2026-02-15 05:27:53.441282,451.98,107.05
2026-02-15 05:42:53.441282,548.85,135.93
2026-02-15 05:57:53.441282,550.9,136.44
2026-02-15 06:12:53.441282,352.97,85.86
2026-02-15 06:27:53.441282,415.55,96.07
2026-02-15 06:42:53.441282,384.9,95.52
2026-02-15 06:57:53.441282,388.81,90.85
2026-02-15 07:12:53.441282,495.76,123.64
2026-02-15 07:27:53.441282,504.14,131.29
2026-02-15 07:42:53.441282,545.71,135.8
2026-02-15 07:57:53.441282,549.37,127.03
2026-02-15 08:12:53.441282,647.97,163.58
2026-02-15 08:27:53.441282,669.02,164.31
2026-02-15 08:42:53.441282,664.94,172.29
2026-02-15 08:57:53.441282,659.22,161.59
2026-02-15 09:12:53.441282,674.79,165.02
2026-02-15 09:27:53.441282,796.66,199.58
2026-02-15 09:42:53.441282,790.31,191.29
2026-02-15 09:57:53.441282,758.16,184.61
2026-02-15 10:12:53.441282,837.77,209.88
2026-02-15 10:27:53.441282,831.66,203.11
2026-02-15 10:42:53.441282,794.16,200.17
2026-02-15 10:57:53.441282,832.98,210.46
2026-02-15 11:12:53.441282,898.5,226.5
